model,language,length_tier,correct,questions,accuracy
Qwen__Qwen3-4B-Instruct-2507,en,long,3265,5434,60.08
Qwen__Qwen3-4B-Instruct-2507,en,short,4436,7325,60.56
Qwen__Qwen3-8B,en,long,3464,5434,63.75
Qwen__Qwen3-8B,en,short,4631,7325,63.22
Qwen__Qwen3.6-35B-A3B,en,long,4534,5434,83.44
Qwen__Qwen3.6-35B-A3B,en,short,6015,7325,82.12
bigscience__bloomz-1b1,en,long,1316,5428,24.24
bigscience__bloomz-1b1,en,short,1765,7322,24.11
bigscience__bloomz-1b7,en,long,1619,5259,30.79
bigscience__bloomz-1b7,en,short,2389,7186,33.25
bigscience__bloomz-3b,en,long,1638,5283,31.01
bigscience__bloomz-3b,en,short,2246,7079,31.73
bigscience__bloomz-7b1-mt,en,long,1519,4834,31.42
bigscience__bloomz-7b1-mt,en,short,2126,6710,31.68
claude-haiku-4-5,en,long,4667,5431,85.93
claude-haiku-4-5,en,short,6117,7324,83.52
claude-sonnet-4-6,en,long,5060,5434,93.12
claude-sonnet-4-6,en,short,6786,7325,92.64
deepseek-ai__DeepSeek-V4-Flash,en,long,5163,5430,95.08
deepseek-ai__DeepSeek-V4-Flash,en,short,6918,7319,94.52
enstazao__Qalb-1.0-8B-Instruct,en,long,2046,5434,37.65
enstazao__Qalb-1.0-8B-Instruct,en,short,2906,7325,39.67
gemini-3.1-flash-lite,en,long,5168,5434,95.1
gemini-3.1-flash-lite,en,short,6933,7325,94.65
gemini-3.5-flash,en,long,5202,5421,95.96
gemini-3.5-flash,en,short,6977,7321,95.3
google__gemma-2-9b-it,en,long,3472,5434,63.89
google__gemma-2-9b-it,en,short,4707,7325,64.26
google__gemma-3-4b-it,en,long,2705,5434,49.78
google__gemma-3-4b-it,en,short,3710,7325,50.65
google__gemma-4-26B-A4B-it,en,long,4461,5434,82.09
google__gemma-4-26B-A4B-it,en,short,5895,7325,80.48
google__gemma-4-31B-it,en,long,4896,5434,90.1
google__gemma-4-31B-it,en,short,6467,7325,88.29
gpt-5.4,en,long,5042,5434,92.79
gpt-5.4,en,short,6656,7325,90.87
gpt-5.4-mini,en,long,4584,5434,84.36
gpt-5.4-mini,en,short,6157,7325,84.05
large-traversaal__Alif-1.0-8B-Instruct,en,long,2172,5394,40.27
large-traversaal__Alif-1.0-8B-Instruct,en,short,3190,7237,44.08
meta-llama__Llama-3.1-8B-Instruct,en,long,2671,5434,49.15
meta-llama__Llama-3.1-8B-Instruct,en,short,3759,7325,51.32
meta-llama__Llama-3.2-3B-Instruct,en,long,2071,5434,38.11
meta-llama__Llama-3.2-3B-Instruct,en,short,2899,7325,39.58
meta-llama__Llama-3.3-70B-Instruct,en,long,4375,5434,80.51
meta-llama__Llama-3.3-70B-Instruct,en,short,5843,7325,79.77
meta-llama__Llama-4-Scout-17B-16E-Instruct,en,long,4263,5434,78.45
meta-llama__Llama-4-Scout-17B-16E-Instruct,en,short,5806,7325,79.26
meta-llama__llama-4-maverick,en,long,4770,5434,87.78
meta-llama__llama-4-maverick,en,short,6364,7324,86.89
microsoft__Phi-3.5-mini-instruct,en,long,1785,5434,32.85
microsoft__Phi-3.5-mini-instruct,en,short,2467,7325,33.68
microsoft__Phi-4-mini-instruct,en,long,2094,5432,38.55
microsoft__Phi-4-mini-instruct,en,short,2949,7319,40.29
mistralai__Ministral-3-3B-Instruct-2512-BF16,en,long,2886,5434,53.11
mistralai__Ministral-3-3B-Instruct-2512-BF16,en,short,3897,7323,53.22
mistralai__Ministral-3-8B-Instruct-2512-BF16,en,long,3504,5434,64.48
mistralai__Ministral-3-8B-Instruct-2512-BF16,en,short,4746,7325,64.79
qwen__qwen3.6-27b,en,long,4550,5434,83.73
qwen__qwen3.6-27b,en,short,6066,7325,82.81
Qwen__Qwen3-4B-Instruct-2507,ur,long,3303,5434,60.78
Qwen__Qwen3-4B-Instruct-2507,ur,short,4517,7325,61.67
Qwen__Qwen3-8B,ur,long,3657,5365,68.16
Qwen__Qwen3-8B,ur,short,4851,7265,66.77
Qwen__Qwen3.6-35B-A3B,ur,long,5028,5419,92.78
Qwen__Qwen3.6-35B-A3B,ur,short,6678,7301,91.47
bigscience__bloomz-1b1,ur,long,1374,5434,25.29
bigscience__bloomz-1b1,ur,short,1808,7325,24.68
bigscience__bloomz-1b7,ur,long,1270,4025,31.55
bigscience__bloomz-1b7,ur,short,1793,5421,33.08
bigscience__bloomz-3b,ur,long,528,1773,29.78
bigscience__bloomz-3b,ur,short,723,2538,28.49
bigscience__bloomz-7b1-mt,ur,long,1284,3968,32.36
bigscience__bloomz-7b1-mt,ur,short,1695,5316,31.88
claude-haiku-4-5,ur,long,4709,5433,86.67
claude-haiku-4-5,ur,short,6252,7324,85.36
claude-sonnet-4-6,ur,long,5064,5434,93.19
claude-sonnet-4-6,ur,short,6786,7325,92.64
deepseek-ai__DeepSeek-V4-Flash,ur,long,5141,5421,94.83
deepseek-ai__DeepSeek-V4-Flash,ur,short,6863,7311,93.87
enstazao__Qalb-1.0-8B-Instruct,ur,long,1669,4449,37.51
enstazao__Qalb-1.0-8B-Instruct,ur,short,2350,6142,38.26
gemini-3.1-flash-lite,ur,long,5177,5434,95.27
gemini-3.1-flash-lite,ur,short,6936,7325,94.69
gemini-3.5-flash,ur,long,5220,5432,96.1
gemini-3.5-flash,ur,short,6985,7324,95.37
google__gemma-2-9b-it,ur,long,3539,5434,65.13
google__gemma-2-9b-it,ur,short,4931,7325,67.32
google__gemma-3-4b-it,ur,long,2790,5434,51.34
google__gemma-3-4b-it,ur,short,3832,7325,52.31
google__gemma-4-26B-A4B-it,ur,long,4511,5433,83.03
google__gemma-4-26B-A4B-it,ur,short,6067,7324,82.84
google__gemma-4-31B-it,ur,long,4901,5434,90.19
google__gemma-4-31B-it,ur,short,6507,7325,88.83
gpt-5.4,ur,long,5170,5434,95.14
gpt-5.4,ur,short,6909,7325,94.32
gpt-5.4-mini,ur,long,4570,5434,84.1
gpt-5.4-mini,ur,short,6229,7325,85.04
large-traversaal__Alif-1.0-8B-Instruct,ur,long,1427,3974,35.91
large-traversaal__Alif-1.0-8B-Instruct,ur,short,2173,6307,34.45
meta-llama__Llama-3.1-8B-Instruct,ur,long,2623,5434,48.27
meta-llama__Llama-3.1-8B-Instruct,ur,short,3797,7325,51.84
meta-llama__Llama-3.2-3B-Instruct,ur,long,2125,5434,39.11
meta-llama__Llama-3.2-3B-Instruct,ur,short,2975,7325,40.61
meta-llama__Llama-3.3-70B-Instruct,ur,long,4223,5433,77.73
meta-llama__Llama-3.3-70B-Instruct,ur,short,5657,7324,77.24
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,long,4311,5425,79.47
meta-llama__Llama-4-Scout-17B-16E-Instruct,ur,short,5901,7322,80.59
meta-llama__llama-4-maverick,ur,long,4791,5430,88.23
meta-llama__llama-4-maverick,ur,short,6408,7321,87.53
microsoft__Phi-3.5-mini-instruct,ur,long,1782,5394,33.04
microsoft__Phi-3.5-mini-instruct,ur,short,2469,7293,33.85
microsoft__Phi-4-mini-instruct,ur,long,2110,5434,38.83
microsoft__Phi-4-mini-instruct,ur,short,2948,7325,40.25
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,long,2975,5434,54.75
mistralai__Ministral-3-3B-Instruct-2512-BF16,ur,short,4178,7325,57.04
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,long,3686,5434,67.83
mistralai__Ministral-3-8B-Instruct-2512-BF16,ur,short,5066,7325,69.16
qwen__qwen3.6-27b,ur,long,4601,5434,84.67
qwen__qwen3.6-27b,ur,short,6162,7325,84.12
